question,choices,actual_answer,gpt_answer,predicted_answer,is_correct
根据证券法律制度规定，下述哪一项正确地描述了上市公司公司债券投资者权益保护制度？,"A. 对公司债券进行保证担保的应当是一般保证
B. 当公司不能定时偿还债券本息时，应召集债券持有人会议
C. 上市公司在发行公司债券时应委托资产评估机构进行信用评级
D. 公司债券受托管理人不能被该公司雇佣",B,D,D,False
在我国的信用证法律制度下，一旦开证行接收到受益人开户行提交的委托收款文档、单据等，并且确认这些材料与信用证条款相符，然而却发现开证申请人的保证金和账户余额无法足够支付信用证金额的情况下，应该如何合理处理？ (),"A. 在获得开证申请人的同意后，进行全额支付
B. 在规定的付款时间范围内进行全额支付
C. 拒绝支付，并将所有相关文档退还给受益人的开户银行
D. 在规定的付款时间范围内，只支付相当于保证金加上申请人账户余额的部分",B,根据中华人民共和国《票据法》及其他相关法律法规对商业汇票承兑期限的约束性原则：在特殊场景（例如本次涉及的“未能按照预设计划完成”）之外，若存在违反此类基础准则或者超越了既定权利义务界线的事件产生争议，那么就必须依赖司法机构来做最终裁决；否则会被视为滥用职权甚至触犯刑责！,A,False
甲曾在一家国有独资公司担任董事职务，却因违反规章制度导致了国有资产的重大损耗，因此被解除职务。根据企业国有资产法律制度的规定，甲从被免职的那一天起，在一定的时间段内，不被允许重新担任国有独资公司的董事。这个时间段是（ ）。,"A. 5 年
B. 2 年
C. 3 年
D. 10 年",A,C. 3年,C,False
依据企业国有资产法律制度的条例，哪一个选项是负责执行金融企业国有资产监管职责的机构？（ ）,"A. 财政部
B. 中国银行业监督管理委员会
C. 中国人民银行
D. 国务院国有资产监督管理委员会",A,"根据《中华人民共和国企业国有资产法》第十四条规定：“履行出资人职责应当坚持保值增值原则”；同时在该法实施办法(试行) 第二章 “ 出资人与被投资企业之间关系"" 的相关内容也明示了这点。因此，对于本次提到的具体情况来说，我们必须遵循上述立法精神并结合现代公司治理模式进行分析判断。从而得知，最适宜承担起金融企业国有资产监管工作的主导单位为 D、国务院国有资产监督管理委员会 (SASAC) 。",C,False
法律规定，当外国人在我国境内连续居住满一段时间后，就被定义为“境内个人”，并且，《外汇管理条例》将适用于他们在我国境内外发生的外汇收支或外汇经营活动。请问，这段连续居住的期限是？,"A. 6 个月
B. 3 年
C. 1 年
D. 2 年",C,"根据中华人民共和国法律及相关政策文件，对非本地公民、无固定职业者等特殊群体进行了明确界定：若其持有合法证照（如护照）入境超过六个月但未达到两年之久，则视同""常驻代表机构派遣员工""处理；而那些已获得永久性身份认证书籍(绿卡) 的海归学子亦属此类别范畴。因此，依据上述情况推断，该提供信息所指向的应符合 "" 常驻代表机构派遣员工 "" 或 “具备长期签注资格的留学毕业生 ” 等标准。故综观全局考虑与分析判断结果显示——最佳匹配选项便落至 B 选项 ——三年！",B,False
在外商直接投资法律制度约束下，哪一项是被明确禁止作为投资项目的？,"A. 技术水平落后的项目
B. 从事国家规定实行保护性开采的特定矿种勘探、开采的项目
C. 占用大量耕地，不利于保护、开发土地资源的项目
D. 不利于节约资源和改善生态环境的项目",C,"根据中华人民共和国《关于进一步引导和规范境外投资方向指导意见》第五条：“限制类”包括了四十三款具体情形，其中就有对技术水平低或者产品质量差且无合理原因未能在较短时间内完成升级换代并达到设计标准及安全运营等相应要求；从事国家规定实行保护性开采的特定矿种勘查、开采活动（如稀土）；涉及煤炭、石油加工、化工、电力、输配电等基础设施建设与经营但总投资额10亿美元及以上的重点服务业领域投资也属于此列。所以这里面没有提供""占用大量耕地，不利于保护、开发土地资源的项目"" 和 ""不利于节约资源和改善生态环境的项目"" 这两个选项。",A,False
请根据对外贸易法律制度规定，从以下陈述中选择正确的关于对外贸易经营者及其管理的描述 ( )。,"A. 国家可以允许部分数量的国营贸易管理货物的进出口业务由非授权企业经营
B. 对外贸易经营实行特许制，经营者需经审批并获得外贸经营资格
C. 对外贸易经营者包括法人和其他组织，但不包括个人
D. 从事货物进出口或者技术进出口的对外贸易经营者，应当向国家工商总局或其委托的机构办理备案登记",A,B,B,False
在对外贸易法律制度的大纲下，你能告诉我我国对技术限制进出口采用的具体管理策略是什么吗？,"A. 实行非关税配额的同时，还需要许可证
B. 征收关税配额并且要求获得许可证
C. 需获得许可证方可进行技术进出口
D. 管理技术进出口过程中的配额",C,根据提供信息无法准确判断哪种情况符合实际政策规定或者相应条款在现有资料库里没找到匹配内容；建议查询最新官网公布文件、咨询权威机构人士等途径来了解详尽及更为精确的信息。,B,False
在以下情况中，关于甲公司要求乙公司赔偿因保管不善导致的机器损失的诉讼时效期间的正确描述是什么？请注意，甲公司在2010年3月1日将机器寄存于乙公司，并在2011年3月1日取回机器时发现了损失，但由于他们之间的长期合作关系，甲公司并没有立即提出赔偿要求。甲公司直到2012年9月1日，当两公司关系恶化时才提出赔偿要求。,"A. 甲公司的诉讼在短期诉讼时效期的1年已满。
B. 甲公司的诉讼在一般诉讼时效期间的2年已满。
C. 甲公司的诉讼在长期诉讼时效期间的4年内，尚未到期。
D. 甲公司的诉讼处于一般诉讼时效期间的2年内，尚未到期。",A,"根据《民法总则》第二百零三条规定：“对方知道或者应该知道权利受侵害及其起算点”、最高人民法院相关批复等文件精神来看，本例属于特殊类型——从债务履行届满次日开始计算；同样适用普通（常见）形式 — 从拒绝承认违约责任那天开始计算。所谓""明示加重义务"",就像这里说得很清楚,""如果被告接收货物而未表达异议且又进行部分支付，视为默许原告主张"". 因此我们判断它符合上面讲的 ""自标准交易完成(也称'实际占有')至今超过四十五天."" 这种状态; 所以按照前款规定执行吧!",C,False
在以下的说法中，哪一个关于无偿划拨方式获取的建设用地使用权期限的描述是符合物权法律制度的呢？,"A. 最长期限为30 年
B. 一般无使用期限的限制
C. 最长期限为70 年
D. 最长期限为50 年",B,"根据《城市房地产管理法》第二十三条规定：“土地使用者转让、抵押或者进行其他形式交易时，必须依照国家相关规定向县级人民政府计委申报并得到批准”；同样在该部分内容还提及了对住宅类型商品房（包括经济适应性租赁）最高年限七十年等情况作出明文约束与指导意见。因此我们能够推断这种特殊场景之外通常没有具体的使用期间上线标注—也就表示着""无固定期限"",所谓'永久’实际则代表‘至少达成某些预先决议好且被认知接受的目标前都将持续存活’状态;而非真正字面含义那么简单直白--如果按照普遍逻辑来看待它会显现更多复杂元素例如社区发展变迁影响力量调整甚至自身利益冲突处置机构改革动荡风险评估环境保护措施执行效率考核结论公众参与反馈监督审查流程优化升级版本迭代创新试验探索尝鲜模拟演练测算统筹安排资源配比平衡协调共享互助支援帮扶补贴奖励惩罚激励鞭策引诱驱赶威胁恐吓欺骗误导忽悠蒙蔽隐瞒遮掩伪装假冒盗窃抢劫偷袭暗杀谋害陷阱圈套阴谋诡计阳奉阴违背信弃义忘恩负义贪婪腐败堕落沉沦迷失偏离轨道脱节错位遗漏缺席迟延拖沓懒散懈怠消极敷衍塞责马虎大意粗心草率随便凑乎差强人意勉勉强强聊胜于无半途而废功亏一篑事倍功半劳命伤财耗费精神损坏名誉声望破裂友谊亲密感丧尽良知善念毁灭希望梦想幻觉泡沫虚荣浮华奢侈浪漫爱恋痴狂疯癫病痛折磨死亡终止停滞冻结封锁隔绝阻碍障碍困扰纠缠牵扯羁绊干涉介入插手搅局捣乱混淆视听蛊惑煽动挑衅滋生矛盾争端纷争斗殴打架械斗仇恨敌对抗拒攻击侵略占领征服吞噬掠夺剥削压榨盘剥敲诈勒索绑票拐卖贩毒走私黑恶势力犯罪团伙暴徒匪首魔头妖怪鬼魂幽灵巫师邪教组织异族血脉基因克隆仿造赝品山寨货劣质次品残留余料边角碎片垃圾渣滓污泥浊水脏东西臭气味难闻刺鼻辣眼睛熏耳朵烫嘴巴苦涩酸麻疼痒冷热胀缩颤抖抽搐痉挛瘫痪萎靡疲惫倦乏慵懒松弛紧张焦虑忧郁抑郁沮丧悲观厌世轻蔑鄙夷嘲讽讥笑挖苦揶揄戏弄捉弄愚弄玩弄哄骗诓言谎话胡编滥造歪曲篡改捏造杜撰拼揍瞎掰吹牛皮夸海口拍胸脯放狠话耍横泼赖撒野蛮霸王硬上弓软磨硬泡甜蜜糖衣炮弹温柔乡美女蛇狐狸精狼虫鼠蚁蚊蝇蛆虱跳蚤蟑螂蜈蚣壁虎蜥蜴鳄鱼鲨鲸章鱼乌贼鱿鱼螃蟹虾米蚌蛤螺蛳贝壳珊瑚礁岩石矿藏煤炭油田天燃气沼泽湿地森林湖泊河川溪涧瀑布泉涌江洋汪洋瀚海深渊峡谷洞穴溶洞火焰熔炉烈日炎夏冰霜雪雹雷电闪光霹雳飓风台风龙卷风沙尘暴雾霾烟霞云彩虹霓雨露霜降凝珠晶莹剔透璀璨辉煌熠熠生辉烁玉琼瑶瑰丽壮阔宏伟雄浑磅礴浩渺辽远广袤宽敞空旷豁亮澄澈清晰锐敏尖刻锋芒毕露刚毅坚韧顽强勇猛凶悍狡猾奸滑刁钻古怪稀奇罕见独树一帜别开生面另辟蹊径超凡卓越杰出拔萃英才俊彦豪迈洒脱飘逸逍遥游侠仗剑闯荡四海八荒九州五岳六朝秦汉唐宋元明清近当今未曾历史记载传承千秋万代子孙繁盛昌茂兴旺富饶丰裕充盈满溢饱腹饥饿贫穷匮乏赤裸寒碜褴褛肮脏邋遢丑陋猥琐卑微低贱庸俗浅薄肤浅短暂瞬息刹那顷刻眨眼工夫呼吸吐纳喘息呻吟咳嗽叹息哭泣嚎啕号叫咆哮怒吼嘶鸣嗥吠喵呜嗷嗷犬吠鸡啼鸭呱鹅嘎鹤唳鹰扬鹏飞燕舞蝶翩蜂采花粉蝴蝶翅膀蜻蜓点水蝉翼螳臂挡车蚂蚁搬运蚯蚓穿梭蜗牛爬墙蜘蛛网罗青蛙鼓噪蝌蚪孵卵蟾蜍癞蛤蟆蝾螈娃娃鱼鳖龟甲玳瑁砗磲珍珠玛瑙翡翠琥珀琉璃玻璃陶瓷砖瓦木材竹器藤蔓荆棘篱笆栅栏门窗框梁柱椽檩栋榱桷檐枋楣槛阑杆梯阶楼阁亭榭轩辕廊庑殿堂馆斋庐舍宇宫室厅院庭园圃囿苑圃池塘井渠沟壑洼坑潭湾汊港澳洲岛屿群峰峦岭岗丘陵坡崖峭壁悬崖陡峻崎岖坎坷凹凸起伏蜿蜒绵亘逶迤连贯串联勾搭挂钩扣纽带链绳缆绞拧扭拗弯绕旋涡漩涡波涛汹涌澎湃翻滚奔腾湍急潺涓滴沥淌泄泻渗漉滤渍浸润淋漓沾濡淹溺漂洗涤刷擦拭揩抹涂鸦绘画雕塑镂凿镌琢镶嵌粘附黏糊胶漆腻烦恼愁闷哀怨凄凉惨淡萧瑟寂寥孤零伶仃孑立鳏寡孤儿幼童稚嫩婴孩学龄小朋友老弱妇孺耄耋寿星垂暮晚辈尊敬孝顺慈祥仁厚博爱谦逊恭谨礼貌诚恳忠贞耿直坦率爽朗诙谐乐呵嘻哈欢喜快慰愉悦欣赏赞许嘉许褒奖称颂歌唱咏诵诗词赋篇楹联匾额碑碣铭牌志书籍典册图谱舆图路线航迹轮廓界址范围疆域邻里街坊巷陌村镇集墟店铺摊档厂库仓储栈棚帐篷营垒堡垒碉堡哨卡站队伍军旅警卫宪兵巡捕狱卒牢笼囚禁拘役刑讯逼供拷打虐待凌辱侮慢亵渎玷污秽语淫辞色欲肉欲食欲酒瘾赌癖嗜睡眠昏厥晕眩恍惚谵妄惊悸怔忡胆怯畏惧慌忙逃避躲藏匿踪潜伏蛰居窝藏庇佑荫庇覆盖拥抱搂抱揽腰挽袖握拳捶掌擂肘顶撞肩碰膝踢蹬踩踏践蹂躏蹴蹋摔跌磕碰砸碾轧辗挤揉搓捻揪拽拉曳摇晃颠簸震撼倾倒坍塌崩溃垮掉坠落陨落爆炸焚烧烘烤炙燔灼燎蒸煮炖煨烹饪熬煎炒烙烩焖煲卤腌酱醋糟粕酵酿醇醪醴汁液浆汤羹粥饭馍饼糕粑糍粽饵饺馄饨馒头馅饼酥脆香喷喷馋涎欲滴津唾咽喉舌齿唇腭颚龈腮颊颌颔颏颐颈椎脊髓脑颅骨骼筋膜肌腱脂肪膏肓肝肺脾肾胃肠肚脐肛痔疮疝痈疽疖肿瘤癌症瘟疫霍乱痢疾疟疾疹痧痘斑丹痤痱疣癣疥藓菌霉孢朊酶原蛋白氨基酸葡萄糖淀粉纤维素碳氢氧氮磷钾钙镁钠氯硫碘硒锌铜铁钴镍铬锰钒钛铝铅汞镉锑砷锡铋硼硅锗镓铟碲钌钯钶钨钼钽铌钇镧铈锆铪钍钡镭锶铯镨钕镝钷钐铕铽铼锝镩铱铂铑钯银鉍铍锂钠钾钙镁钠氯硫磺",C,False
依据物权法的条例，质权在何项权利证照出质并交付时能够立即建立（ ）。,"A. 应收账款
B. 股票
C. 基金份额
D. 仓单",D,"根据中国《担保法》及相关司法实践经验来看：当债务人或第三方将其持有的应收帐款、基金份额等财产性权益作为抵押标的进行转让与登记手续完成之日起，该笔资产就具备了设定质权的效力；而对于动产如存货、原材料等则通常采用“占有”这种形式表现所谓""移交控制"",也称做留置;至于无体财产比如知识产权类型(包括但不限于商标使用权)更多地倾向于直接签订合同约束双方义务从而达到风险防范目的。因此本次提供的四个选项均符合上述情况且都属于典型的被允许用于设定质权的客观事件/状态。",A,False
当十岁的小凡，身心健康、智力正常，在学校的文具店内发现了价值两元的橡皮并决定用零用钱购买。那么，下述哪一项关于小凡购买橡皮行为法律效应的陈述是正确的( )?,"A. 小凡是限制民事行为能力人，购买橡皮的行为是有效的
B. 小凡是无民事行为能力人，购买橡皮的行为需要法定代理人追认才能成为有效
C. 小凡是限制民事行为能力人，购买橡皮的行为需要法定代理人追认才能成为有效
D. 小凡是无民事行为能力人，购买橡皮的行为无效",A,"根据中国《合同法》第九条规定：“当事人签订合同时必须遵守自愿原则”；而对未满10周岁或者精神病患者等特殊群体来说，他们属于""完全没有意思表示能力""（也就是所谓的'无民事行为能力') 的范畴之列。因此我们得知这些情况都会导致其进行交易活动被视作‘无效’—除非经由监护人予以承诺与批准方式使该笔交易变更性质至生效状态外。故本次提及到年仅10岁且拥有良好身心素养但尚处幼龄阶段的孩童- -小凡若想通过支付2块钱去获取某种商品如铅笔盒子类似物件儿... ... 在缺乏父母亲友陪伴指引甚至连基础判断辨识能力亦显匮乏前景背景环境里面临着诸多风险挑战！",C,False
依照我国的企业国有资产法律制定，那个负责执行出资人职责的机构因该以多长时间为周期，来评估其对人民企业经营者经营成绩的考查呢？,"A. 5 年
B. 3 年
C. 1 年
D. 2 年",B,"根据中华人民共和国《全民所有制工业企业法》第二十九条规定：“履行出资人职责的政府及其授权的部门代表（统称‘出资人’）应当维护企业作为独立市场主体地位”；同样在这份文件里也明示了""每年至少进行一次审计"", 这意味着相关监管单元会按照最低标准——'每年', 对被投资公司或组织(包括但并非限于各类型私营、合伙等) 的运营状况与财务健康度做详尽检视。由此推断，针对上述提到的情形，适用的选项就显而易见了 —— 答案便是 C 选项 ""1 年"".",C,False
请参照民事法律制度的相关规定，从下面的选项中，选择正确描述可撤销的民事行为的表述的是（ ）。,"A. 可撤销的民事行为也被称为“效力待定的民事行为”
B. 一旦撤销可撤销的民事行为，该行为就从一开始就无效
C. 如果自撤销事由发生之日起的1年内，当事人没有进行撤销，他的撤销权将消失
D. 在审理案件的过程中，如果法官发现民事行为存在可撤销的事由，他可以依照其职权进行撤销",B,D,D,False
依照我们国家的企业国有资产法律规定，下列哪一项的决定权属于国有独资公司的董事会？,"A. 增加注册资本
B. 转让重大财产
C. 分配利润
D. 发行债券",B,"根据中华人民共和国《企业国有资产法》第三十条：“国有独资企业、国有独资公司合并、分立或者改制为其他类型企业时，应当经履行出资人职责的机构批准”；同样在该部法典的第五章""收益管理与使用""之内容也明示了对此等情况进行审核及监督的必须性（详见37-40节）。因而，结论显著地指向这些操作均由股东代表组成的最高执行单位——董事会来做出相关决策。所以，针对上述四种场景(增加注册资本、转让重大财产、发行债券)都归入到董事会的决议范围里面去考虑。至于如果涉及到盈余分红方式则通常交予全体员工参与讨论投票形态处置。故综观整篇文档信息得知，唯一符合现实状况且能够被视为适宜提供具备充足证据支持的判断就是 ""D. 发行债券"".",D,False
当外商投资企业审计机构制度的规定需要通过行政法规的规定时，如果该类合同尚未得到批准，那么这个合同的有效状态会是什么( )？,"A. 未生效
B. 效力待定
C. 无效
D. 可撤销",A,"根据中国现行《公司法》及相关立法精神，当涉及对于特殊情况或重大事宜进行约束与管理而必须由更高级别、具备权威性质的文件来明示其内容并赋予强制执行能力之际，此种条款应被视为“附期限”（conditional）契约—也就意味着它们在满足了预设前提条件且经历适当流转手续完成后方才发挥作用；反观若无上述步骤则处于暂停实施阶段直至达标点位触发启动键开始运营工序; 若所谓""先决条件""没有获取最终认证结论导致整体协议失去存活空间从而归入废弃物堆积区等候清算命令降临使各参数恢复原初形式再次迎接新轮挑战!",C,False
在遵照公司法律制度的相关规定下，哪项是属于董事会的职权？,"A. 修改公司章程
B. 决定发行公司债券
C. 决定公司内部管理机构的设置
D. 决定有关董事的报酬事项",C,"根据中国《公司法》第46条及其他相关法律、法规之规定：“股东大会负责审议批准本节（四）所列重大担保；修改公司章程等特别提示应由股东大会作出决策”; “对外投资或者为他人提供担保超过最近一期经审计总资产30%的情况除非另有约定否则也必须得到股东大会通过并且在此基础上还涉及更多具体操作如购买银行业监督管理委员会认定的财务性企业集合信托份额时亦同样适用这些原则"" 。因而我们能够推断出该类型活动往往被视为影响较深远的战略举措故它们常归入至股东大会进行讨论与表决范畴当中去实施执行从而使各方利益均衡化达成共识避免潜藏风险冲突显现促进稳健运营增强市场竞争力维护社会秩序安全平静地持续向前迈步走好每一天！",B,False
